Time,Position/LatitudeDegrees,Position/LongitudeDegrees,AltitudeMeters,DistanceMeters,HeartRateBpm/Value
2019-09-28T18:09:49.000+02:00,46.866644978523254,19.888673305511475,124.8,8861.650000000001,177
2019-09-28T18:09:50.000+02:00,46.866649985313416,19.88863492012024,124.6,8864.410000000002,176
2019-09-28T18:09:51.000+02:00,46.866649985313416,19.888598322868347,124.1,8867.21,176
2019-09-28T18:09:52.000+02:00,46.86665499210358,19.888553261756897,123.6,8870.01,176
2019-09-28T18:09:53.000+02:00,46.86665499210358,19.888516664505005,123.1,8872.89,176
2019-09-28T18:09:54.000+02:00,46.866658329963684,19.88847827911377,122.6,8875.75,176
2019-09-28T18:09:55.000+02:00,46.866663217544556,19.88843822479248,121.6,8878.640000000001,176
2019-09-28T18:09:56.000+02:00,46.86666822433472,19.888404965400696,121.1,8881.54,176
2019-09-28T18:09:57.000+02:00,46.86667323112488,19.888368248939514,120.8,8884.400000000001,176
2019-09-28T18:09:58.000+02:00,46.86667823791504,19.888331651687622,120.8,8887.25,176
2019-09-28T18:09:59.000+02:00,46.86668157577515,19.88828992843628,120.6,8890.11,176
2019-09-28T18:10:00.000+02:00,46.86668658256531,19.888248324394226,120.6,8893.01,179
2019-09-28T18:10:01.000+02:00,46.866689920425415,19.888206601142883,120.3,8895.97,179
2019-09-28T18:10:02.000+02:00,46.866694927215576,19.88816499710083,120.1,8898.95,179
2019-09-28T18:10:03.000+02:00,46.86669993400574,19.888123273849487,120.1,8901.970000000001,179
2019-09-28T18:10:04.000+02:00,46.86669993400574,19.888086557388306,119.8,8905.01,179
2019-09-28T18:10:05.000+02:00,46.86669993400574,19.888044953346252,119.8,8908.02,179
2019-09-28T18:10:06.000+02:00,46.86670160293579,19.88800323009491,120.3,8911.050000000001,179
2019-09-28T18:10:07.000+02:00,46.86670160293579,19.88796329498291,120.8,8914.1,179
2019-09-28T18:10:08.000+02:00,46.8667049407959,19.887924909591675,121.0,8917.14,179
